job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,Bitcoin Trading Expert Needed,Remote,Other,112541-310451,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,,Unlimited earning potential,1,0,0,Other,Not Applicable,High School or equivalent,,Other,1
2,DevOps Engineer,Kolkata,Design,,,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,0,0,Full-time,Mid-Senior level,MBA,Finance,Sales,0
3,Project Manager,Delhi,IT,,Cognizant,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,0,Part-time,Director,Bachelor's Degree,BFSI,Design,0
4,Project Manager,Delhi,Operations,53565-98890,HDFC Bank,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Contract,Director,Master's Degree,Healthcare,Human Resources,0
5,Operations Manager,Noida,Sales,115364-144761,Zomato,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Part-time,Mid-Senior level,B.Com,Information Technology,Finance,0
6,Customer Support Agent,Gurgaon,Human Resources,73940-96809,Oracle India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,1,Part-time,Mid-Senior level,B.Tech,Education,IT,0
7,DevOps Engineer,Hyderabad,Design,83449-105061,Flipkart,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,1,0,Contract,Entry level,Bachelor's Degree,Education,Design,0
8,Envelope Stuffing Job – High Pay,Online,,88181-256567,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Willing to work independently. No qualifications needed.,,1,0,0,Temporary,Not Applicable,,Online,Other,1
9,Financial Analyst,Kolkata,IT,66046-114408,Cognizant,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,0,Part-time,Mid-Senior level,PhD,Finance,Product,0
10,Product Manager,Noida,Finance,66898-95596,Wipro,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Part-time,Entry level,B.Com,BFSI,Sales,0
