job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,requirements_length,has_company,missing_fields,max_salary,salary_anomaly,has_salary,scam_keyword_count,employment_risk,is_wfh,trust_score,risk_level,Label
1,Bitcoin Trading Expert Needed,Remote,Other,112541-310451,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,,Unlimited earning potential,1,0,0,Other,Not Applicable,High School or equivalent,,Other,1,135,0,1,2,310451,1,1,4,2,1,18,High Risk,Fake
2,DevOps Engineer,Kolkata,Design,,,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,0,0,Full-time,Mid-Senior level,MBA,Finance,Sales,0,275,140,0,3,0,0,0,0,0,0,45,Medium Risk,Real
3,Project Manager,Delhi,IT,,Cognizant,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,0,Part-time,Director,Bachelor's Degree,BFSI,Design,0,194,130,1,1,0,0,0,0,1,1,90,Low Risk,Real
4,Project Manager,Delhi,Operations,53565-98890,HDFC Bank,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Contract,Director,Master's Degree,Healthcare,Human Resources,0,275,134,1,0,98890,0,1,0,0,0,100,Low Risk,Real
5,Operations Manager,Noida,Sales,115364-144761,Zomato,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Part-time,Mid-Senior level,B.Com,Information Technology,Finance,0,275,134,1,0,144761,0,1,0,1,1,95,Low Risk,Real
6,Customer Support Agent,Gurgaon,Human Resources,73940-96809,Oracle India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,1,Part-time,Mid-Senior level,B.Tech,Education,IT,0,275,130,1,0,96809,0,1,0,1,1,95,Low Risk,Real
7,DevOps Engineer,Hyderabad,Design,83449-105061,Flipkart,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,1,0,Contract,Entry level,Bachelor's Degree,Education,Design,0,164,134,1,0,105061,0,1,0,0,0,100,Low Risk,Real
8,Envelope Stuffing Job – High Pay,Online,,88181-256567,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Willing to work independently. No qualifications needed.,,1,0,0,Temporary,Not Applicable,,Online,Other,1,156,56,0,4,256567,1,1,1,1,1,0,High Risk,Fake
9,Financial Analyst,Kolkata,IT,66046-114408,Cognizant,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,0,Part-time,Mid-Senior level,PhD,Finance,Product,0,164,134,1,1,114408,0,1,0,1,0,90,Low Risk,Real
10,Product Manager,Noida,Finance,66898-95596,Wipro,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Part-time,Entry level,B.Com,BFSI,Sales,0,275,134,1,0,95596,0,1,0,1,1,95,Low Risk,Real
11,Graphic Designer,Bengaluru,Human Resources,118835-137798,Zomato,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",0,0,1,Contract,Mid-Senior level,B.Tech,Finance,Marketing,0,164,130,1,0,137798,0,1,0,0,0,90,Low Risk,Real
12,Business Analyst,Chennai,Marketing,,Cognizant,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",0,1,0,Full-time,Internship,MBA,Education,Sales,0,221,134,1,1,0,0,0,0,0,0,95,Low Risk,Real
13,Software Engineer,Delhi,Sales,,IBM India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",0,1,0,Part-time,Entry level,MCA,Education,Design,0,275,130,1,1,0,0,0,0,1,0,90,Low Risk,Real
14,HR Specialist,Pune,Sales,42467-79669,IBM India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",1,1,1,Contract,Mid-Senior level,PhD,BFSI,Finance,0,275,134,1,0,79669,0,1,0,0,1,100,Low Risk,Real
15,Project Manager,Mumbai,Operations,117501-128174,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",0,0,1,Contract,Entry level,B.Tech,BFSI,IT,0,221,130,1,0,128174,0,1,0,0,0,90,Low Risk,Real
16,Project Manager,Bengaluru,Engineering,111087-143265,Accenture,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Contract,Mid-Senior level,MBA,Information Technology,Product,0,221,134,1,0,143265,0,1,0,0,0,100,Low Risk,Real
17,Financial Analyst,Pune,IT,52551-95308,Paytm,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,0,Temporary,Entry level,PhD,Retail,Marketing,0,221,140,1,0,95308,0,1,0,1,0,95,Low Risk,Real
18,Content Writer,Pune,Human Resources,62208-104930,Zomato,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,1,1,1,Part-time,Internship,PhD,Finance,IT,0,164,134,1,1,104930,0,1,0,1,1,90,Low Risk,Real
19,Online Data Entry – $80/hr,Remote,Other,116731-193957,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,Willing to work independently. No qualifications needed.,Unlimited earning potential,1,0,0,Other,Not Applicable,High School or equivalent,Other,Other,1,141,56,1,0,193957,0,1,2,2,1,64,Medium Risk,Fake
20,Secret Shopper – $500/day,Remote,,69617-196168,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Willing to work independently. No qualifications needed.,,1,0,0,Other,Not Applicable,Unspecified,Online,Other,1,153,56,1,2,196168,0,1,4,2,1,38,Medium Risk,Fake
21,Marketing Manager,Chennai,Human Resources,54673-82551,Paytm,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Contract,Director,PhD,BFSI,Marketing,0,164,140,1,0,82551,0,1,0,0,1,100,Low Risk,Real
22,Easy Money – No Experience Needed,Work From Home,Sales,123443-248523,,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,Willing to work independently. No qualifications needed.,Unlimited earning potential,1,0,0,Part-time,Not Applicable,Unspecified,Other,,1,135,56,0,1,248523,1,1,5,1,1,0,High Risk,Fake
23,Envelope Stuffing Job – High Pay,Anywhere,Other,59207-258796,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Must have PayPal or bank account to receive payments.,Fast cash,1,0,0,Other,Not Applicable,High School or equivalent,Other,Other,1,156,53,1,0,258796,1,1,1,2,1,52,Medium Risk,Fake
24,UI/UX Designer,Hyderabad,Operations,117516-144868,Zomato,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Part-time,Not Applicable,PhD,Manufacturing,Product,0,221,140,1,0,144868,0,1,0,1,1,95,Low Risk,Real
25,Online Data Entry – $80/hr,Remote,Other,123453-393052,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Temporary,Not Applicable,High School or equivalent,Other,Other,1,141,60,1,0,393052,1,1,2,1,1,49,Medium Risk,Fake
