job_id,title,company_profile,location,employment_type,salary_range,max_salary,fraudulent,Fraud_Label,trust_score,risk_level,missing_fields,scam_keyword_count,has_company,has_company_logo,is_wfh,salary_anomaly,description_length,Work_Type,Company_Status,Salary_Status
1,Bitcoin Trading Expert Needed,Anonymous,Remote,Other,112541-310451,310451,1,Fake,18,High Risk,2,4,1,0,1,1,135,Work From Home,Has Company,High Salary (Suspicious)
2,DevOps Engineer,,Kolkata,Full-time,,0,0,Real,45,Medium Risk,3,0,0,0,0,0,275,On-site,No Company,Normal Salary
3,Project Manager,Cognizant,Delhi,Part-time,,0,0,Real,90,Low Risk,1,0,1,1,1,0,194,Work From Home,Has Company,Normal Salary
4,Project Manager,HDFC Bank,Delhi,Contract,53565-98890,98890,0,Real,100,Low Risk,0,0,1,1,0,0,275,On-site,Has Company,Normal Salary
5,Operations Manager,Zomato,Noida,Part-time,115364-144761,144761,0,Real,95,Low Risk,0,0,1,1,1,0,275,Work From Home,Has Company,Normal Salary
6,Customer Support Agent,Oracle India,Gurgaon,Part-time,73940-96809,96809,0,Real,95,Low Risk,0,0,1,1,1,0,275,Work From Home,Has Company,Normal Salary
7,DevOps Engineer,Flipkart,Hyderabad,Contract,83449-105061,105061,0,Real,100,Low Risk,0,0,1,1,0,0,164,On-site,Has Company,Normal Salary
8,Envelope Stuffing Job – High Pay,,Online,Temporary,88181-256567,256567,1,Fake,0,High Risk,4,1,0,0,1,1,156,Work From Home,No Company,High Salary (Suspicious)
9,Financial Analyst,Cognizant,Kolkata,Part-time,66046-114408,114408,0,Real,90,Low Risk,1,0,1,1,0,0,164,On-site,Has Company,Normal Salary
10,Product Manager,Wipro,Noida,Part-time,66898-95596,95596,0,Real,95,Low Risk,0,0,1,1,1,0,275,Work From Home,Has Company,Normal Salary
11,Graphic Designer,Zomato,Bengaluru,Contract,118835-137798,137798,0,Real,90,Low Risk,0,0,1,0,0,0,164,On-site,Has Company,Normal Salary
12,Business Analyst,Cognizant,Chennai,Full-time,,0,0,Real,95,Low Risk,1,0,1,1,0,0,221,On-site,Has Company,Normal Salary
13,Software Engineer,IBM India,Delhi,Part-time,,0,0,Real,90,Low Risk,1,0,1,1,0,0,275,On-site,Has Company,Normal Salary
14,HR Specialist,IBM India,Pune,Contract,42467-79669,79669,0,Real,100,Low Risk,0,0,1,1,1,0,275,Work From Home,Has Company,Normal Salary
15,Project Manager,Amazon India,Mumbai,Contract,117501-128174,128174,0,Real,90,Low Risk,0,0,1,0,0,0,221,On-site,Has Company,Normal Salary
16,Project Manager,Accenture,Bengaluru,Contract,111087-143265,143265,0,Real,100,Low Risk,0,0,1,1,0,0,221,On-site,Has Company,Normal Salary
17,Financial Analyst,Paytm,Pune,Temporary,52551-95308,95308,0,Real,95,Low Risk,0,0,1,1,0,0,221,On-site,Has Company,Normal Salary
18,Content Writer,Zomato,Pune,Part-time,62208-104930,104930,0,Real,90,Low Risk,1,0,1,1,1,0,164,Work From Home,Has Company,Normal Salary
19,Online Data Entry – $80/hr,Anonymous,Remote,Other,116731-193957,193957,1,Fake,64,Medium Risk,0,2,1,0,1,0,141,Work From Home,Has Company,Normal Salary
20,Secret Shopper – $500/day,Anonymous,Remote,Other,69617-196168,196168,1,Fake,38,Medium Risk,2,4,1,0,1,0,153,Work From Home,Has Company,Normal Salary
21,Marketing Manager,Paytm,Chennai,Contract,54673-82551,82551,0,Real,100,Low Risk,0,0,1,1,1,0,164,Work From Home,Has Company,Normal Salary
22,Easy Money – No Experience Needed,,Work From Home,Part-time,123443-248523,248523,1,Fake,0,High Risk,1,5,0,0,1,1,135,Work From Home,No Company,High Salary (Suspicious)
23,Envelope Stuffing Job – High Pay,Anonymous,Anywhere,Other,59207-258796,258796,1,Fake,52,Medium Risk,0,1,1,0,1,1,156,Work From Home,Has Company,High Salary (Suspicious)
24,UI/UX Designer,Zomato,Hyderabad,Part-time,117516-144868,144868,0,Real,95,Low Risk,0,0,1,1,1,0,221,Work From Home,Has Company,Normal Salary
25,Online Data Entry – $80/hr,Anonymous,Remote,Temporary,123453-393052,393052,1,Fake,49,Medium Risk,0,2,1,0,1,1,141,Work From Home,Has Company,High Salary (Suspicious)
26,Software Engineer,Flipkart,Mumbai,Temporary,103874-116573,116573,0,Real,95,Low Risk,0,0,1,1,1,0,194,Work From Home,Has Company,Normal Salary
27,HR Specialist,Swiggy,Chennai,Contract,98319-113706,113706,0,Real,100,Low Risk,0,0,1,1,0,0,164,On-site,Has Company,Normal Salary
28,Product Manager,TCS,Mumbai,Contract,60090-108515,108515,0,Real,100,Low Risk,0,0,1,1,0,0,275,On-site,Has Company,Normal Salary
29,Business Analyst,Amazon India,Hyderabad,Contract,94105-124648,124648,0,Real,100,Low Risk,0,0,1,1,1,0,221,Work From Home,Has Company,Normal Salary
30,DevOps Engineer,Oracle India,Gurgaon,Temporary,84921-130193,130193,0,Real,80,Low Risk,1,0,1,0,1,0,221,Work From Home,Has Company,Normal Salary
31,Business Analyst,Cognizant,Gurgaon,Contract,100092-140468,140468,0,Real,95,Low Risk,1,0,1,1,0,0,221,On-site,Has Company,Normal Salary
32,Graphic Designer,Flipkart,Ahmedabad,Temporary,100016-117112,117112,0,Real,95,Low Risk,0,0,1,1,0,0,221,On-site,Has Company,Normal Salary
33,Operations Manager,TCS,Chennai,Part-time,112764-160573,160573,0,Real,85,Low Risk,0,0,1,0,0,0,194,On-site,Has Company,Normal Salary
34,Financial Analyst,Zomato,Bengaluru,Full-time,119304-147412,147412,0,Real,90,Low Risk,0,0,1,0,0,0,275,On-site,Has Company,Normal Salary
35,Business Analyst,HCL Technologies,Chennai,Temporary,82609-131067,131067,0,Real,90,Low Risk,1,0,1,1,1,0,194,Work From Home,Has Company,Normal Salary
36,Product Manager,HDFC Bank,Kolkata,Full-time,104949-116611,116611,0,Real,100,Low Risk,0,0,1,1,1,0,221,Work From Home,Has Company,Normal Salary
37,Urgent – Wire Transfer Specialist,,Online,Temporary,196500-335524,335524,1,Fake,0,High Risk,2,6,0,0,1,1,153,Work From Home,No Company,High Salary (Suspicious)
38,Content Writer,Swiggy,Mumbai,Full-time,30286-68006,68006,0,Real,95,Low Risk,1,0,1,1,1,0,275,Work From Home,Has Company,Normal Salary
39,HR Specialist,HDFC Bank,Ahmedabad,Part-time,61381-80161,80161,0,Real,95,Low Risk,0,0,1,1,1,0,194,Work From Home,Has Company,Normal Salary
40,UI/UX Designer,IBM India,Chennai,Temporary,63776-109028,109028,0,Real,95,Low Risk,0,0,1,1,1,0,164,Work From Home,Has Company,Normal Salary
41,Marketing Manager,Microsoft India,Ahmedabad,Contract,59536-89245,89245,0,Real,100,Low Risk,0,0,1,1,1,0,164,Work From Home,Has Company,Normal Salary
42,Unlimited Income Opportunity,,Work From Home,Temporary,67590-277565,277565,1,Fake,0,High Risk,3,2,0,0,1,1,156,Work From Home,No Company,High Salary (Suspicious)
43,UI/UX Designer,Flipkart,Bengaluru,Part-time,,0,0,Real,90,Low Risk,1,0,1,1,0,0,164,On-site,Has Company,Normal Salary
44,Software Engineer,Wipro,Bengaluru,Contract,,0,0,Real,90,Low Risk,2,0,1,1,0,0,194,On-site,Has Company,Normal Salary
45,Online Data Entry – $80/hr,Anonymous,Remote,Other,253244-317844,317844,1,Fake,39,Medium Risk,1,2,1,0,1,1,141,Work From Home,Has Company,High Salary (Suspicious)
46,Graphic Designer,Cognizant,Noida,Part-time,66010-113041,113041,0,Real,90,Low Risk,1,0,1,1,0,0,275,On-site,Has Company,Normal Salary
47,Content Writer,TCS,Pune,Contract,36877-54567,54567,0,Real,100,Low Risk,0,0,1,1,0,0,164,On-site,Has Company,Normal Salary
48,Business Analyst,IBM India,Mumbai,Contract,105310-115494,115494,0,Real,100,Low Risk,0,0,1,1,1,0,275,Work From Home,Has Company,Normal Salary
49,Graphic Designer,TCS,Bengaluru,Temporary,72517-119714,119714,0,Real,95,Low Risk,0,0,1,1,1,0,275,Work From Home,Has Company,Normal Salary
50,Unlimited Income Opportunity,,Online,Part-time,179047-262996,262996,1,Fake,0,High Risk,3,5,0,0,1,1,153,Work From Home,No Company,High Salary (Suspicious)
51,Make Money Fast – Part Time,Anonymous,Online,Part-time,411267-671188,671188,1,Fake,18,High Risk,3,4,1,0,1,1,135,Work From Home,Has Company,High Salary (Suspicious)
52,Graphic Designer,Cognizant,Noida,Part-time,,0,0,Real,90,Low Risk,1,0,1,1,0,0,221,On-site,Has Company,Normal Salary
53,HR Specialist,Infosys,Kolkata,Part-time,73983-100576,100576,0,Real,95,Low Risk,0,0,1,1,0,0,194,On-site,Has Company,Normal Salary
54,Graphic Designer,,Ahmedabad,Temporary,48139-69313,69313,0,Real,50,Medium Risk,1,0,0,0,0,0,275,On-site,No Company,Normal Salary
55,HR Specialist,HDFC Bank,Ahmedabad,Contract,108688-156461,156461,0,Real,100,Low Risk,0,0,1,1,1,0,275,Work From Home,Has Company,Normal Salary
56,Online Data Entry – $80/hr,,Remote,Part-time,141565-379128,379128,1,Fake,12,High Risk,1,1,0,0,1,1,156,Work From Home,No Company,High Salary (Suspicious)
57,Operations Manager,Infosys,Delhi,Part-time,,0,0,Real,75,Low Risk,2,0,1,0,0,0,221,On-site,Has Company,Normal Salary
